"AgeClassID","AgeRange"
0,"Non-Forest"
1,"0 to 19"
2,"20 to 39"
3,"40 to 59"
4,"60 to 79"
5,"80 to 99"
6,"100 to 119"
7,"120 to 139"
8,"140 to 159"
9,"160 to 179"
10,"180 to 199"
11,"200+"
